id,gen,sp,ssp,en,rec,cnt,loc,lat,lng,alt,type,url,file,lic,q,length,time,date,uploaded,rmk,bird-seen,playback-used
151762,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,200,call,//www.xeno-canto.org/151762,//www.xeno-canto.org/151762/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:02,18:30,2013-09-16,2013-10-17,,yes,no
151761,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,200,call,//www.xeno-canto.org/151761,//www.xeno-canto.org/151761/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:22,18:30,2013-09-16,2013-10-17,,yes,no
151760,Accipiter,hiogaster,,Variable Goshawk,Mike Nelson,Indonesia,Weda; Central Halmahera; North Maluku,0.4218,127.9019,200,call,//www.xeno-canto.org/151760,//www.xeno-canto.org/151760/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:08,18:30,2013-09-16,2013-10-17,,yes,no
138363,Accipiter,hiogaster,polionotus,Variable Goshawk,Colin Trainor,Indonesia,Mt Waiwuli near Letwurung; East Babar; Maluku Barat Daya; Maluku,-7.8739,129.8033,220,song,//www.xeno-canto.org/138363,//www.xeno-canto.org/138363/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:40,13:00,2011-08-13,2013-06-14,,no,no
112156,Accipiter,hiogaster,sylvestris,Variable Goshawk,Raf Drijvers,Indonesia,Mausambi; Flores,None,None,100m,call,//www.xeno-canto.org/112156,//www.xeno-canto.org/112156/download,//creativecommons.org/licenses/by-nc-sa/3.0/,B,1:11,?,1998-09-03,2012-10-30,,yes,no
67499,Accipiter,hiogaster,,Variable Goshawk,Frank Lambert,Indonesia,Kai Besar,-5.65,133.01,?,call,//www.xeno-canto.org/67499,//www.xeno-canto.org/67499/download,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:52,?:?,1998-03-24,2011-01-04,Previously published on AVoCet as <a href=http://avocet.zoology.msu.edu/recordings/4777>AV4777</a> Certainty: 100%.  ID determined by: not specifically indicated; recordist normally sees birds recorded and indicates if any question. GPS: Estimate from Google Earth. could be song,unknown,unknown
104400,Accipiter,hiogaster,albiventris,Variable Goshawk,Bas van Balen,Indonesia,Taman Anggrek; Kai Kecil,-5.7939,132.6851,?,?,//www.xeno-canto.org/104400,//www.xeno-canto.org/104400/download,//creativecommons.org/licenses/by-nc-nd/2.5/,C,0:09,8:30,1994-04-25,2012-06-23,female,unknown,unknown
104399,Accipiter,hiogaster,albiventris,Variable Goshawk,Bas van Balen,Indonesia,Taman Anggrek; Kai Kecil,-5.7939,132.6851,?,?,//www.xeno-canto.org/104399,//www.xeno-canto.org/104399/download,//creativecommons.org/licenses/by-nc-nd/2.5/,C,1:45,8:25,1994-04-25,2012-06-23,male and female,unknown,unknown
138364,Accipiter,hiogaster,polionotus,Variable Goshawk,Colin Trainor,Indonesia,Mt Waiwuli near Letwurung; East Babar; Maluku Barat Daya; Maluku,-7.8739,129.8033,220,call,//www.xeno-canto.org/138364,//www.xeno-canto.org/138364/download,//creativecommons.org/licenses/by-nc-sa/3.0/,D,0:14,13:00,2011-08-13,2013-06-14,Bird not seen. Accipiters were calling a lot; and could be confusion with Brown Goshawk which was not observed.,no,no
138953,Accipiter,fasciatus,hellmayri,Brown Goshawk,Colin Trainor,Indonesia,Lakawahi area; southern peninsula; Romang Island,-7.6092,127.363,300,song,//www.xeno-canto.org/138953,//www.xeno-canto.org/138953/download,//creativecommons.org/licenses/by-nc-sa/3.0/,A,1:03,08:00,2010-10-13,2013-06-19,Immature plumaged bird.,yes,no
